Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Q1,Q2,Q3,Q4,Q5,Q6,END QUESTIONNAIRE
1,1.59172E+12,9/6/2020 17:06,1.59172E+12,-7,9/6/2020 10:05,14612,10,questionnaire-bwa4,,5532870,5e51ff2485649722ffcc1397,1541380,,complete,,5edfc0ce46228e2abdf76a0a,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1404x742,,Resiliency,2,4,2,3,2,5,2,44310
1,1.59172E+12,9/6/2020 17:07,1.59172E+12,-5,9/6/2020 12:07,14612,10,questionnaire-bwa4,,5532908,59e91cebae9f950001d8466a,1541386,,complete,,5edfc0c4d426ce2c5d7c359b,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1600x900,1600x730,,Resiliency,2,3,4,3,4,3,4,14055
1,1.59172E+12,9/6/2020 17:07,1.59172E+12,-4,9/6/2020 13:07,14612,10,questionnaire-bwa4,,5532914,5e89ad187ad752640e558c8a,1541387,,complete,,5edfc0f5a265fc2c075de242,computer,Desktop or Laptop,Chromium OS 12871.102.0,Chrome 81.0.4044.141,1187x667,1139x597,,Resiliency,2,4,4,4,3,2,3,15993
1,1.59172E+12,9/6/2020 17:07,1.59172E+12,-4,9/6/2020 13:07,14612,10,questionnaire-bwa4,,5532923,5b78542ef642ed0001517ca0,1541390,,complete,,5edfc0f9ecf5a02c04e6eb11,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.61,1440x900,1180x798,,Resiliency,2,3,3,4,3,4,3,27111
1,1.59172E+12,9/6/2020 17:08,1.59172E+12,-4,9/6/2020 13:08,14612,10,questionnaire-bwa4,,5532942,5ebf0609ddad5c2dca3dcc63,1541382,,complete,,5edfc0c10b0b992c91f4b2ea,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1536x864,1536x750,,Resiliency,2,2,4,2,3,2,3,20588
1,1.59172E+12,9/6/2020 17:09,1.59172E+12,-5,9/6/2020 12:09,14612,10,questionnaire-bwa4,,5532978,5df837d7afb8b05ea6aafddb,1541411,,complete,,5edfc1025074cf2c10a81781,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.15,1366x768,1366x657,,Resiliency,2,4,2,4,2,4,2,13225
1,1.59172E+12,9/6/2020 17:13,1.59172E+12,-5,9/6/2020 12:13,14612,10,questionnaire-bwa4,,5533068,5ed1b1f962f152000804db12,1541379,,complete,,5edfc0c3fec5422b481829cd,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 83.0.4103.61,1440x900,1440x789,,Resiliency,2,3,2,2,2,2,2,37906
1,1.59172E+12,9/6/2020 17:13,1.59172E+12,-7,9/6/2020 10:13,14612,10,questionnaire-bwa4,,5533074,5e1a5142e0dce02cb17b03f6,1541420,,complete,,5edfc0c6b54d222cb82e69c1,computer,Desktop or Laptop,Mac OS 10.15.3,Chrome 83.0.4103.61,1440x900,1440x688,,Resiliency,2,3,4,3,3,3,2,56635
1,1.59172E+12,9/6/2020 17:16,1.59172E+12,-4,9/6/2020 13:16,14612,10,questionnaire-bwa4,,5533137,5c3a865019ceb400010c914a,1541443,,complete,,5edfc101cff15e2cfe7810e7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1600x900,1600x757,,Resiliency,2,4,2,4,1,4,2,11096
1,1.59172E+12,9/6/2020 17:17,1.59172E+12,8,10/6/2020 1:17,14612,10,questionnaire-bwa4,,5533159,5ead5aa4974f0c017441fc5a,1541444,,complete,,5edfc0f7950c382d0202c377,computer,Desktop or Laptop,Windows 8.1,Firefox 76.0,1366x768,1366x664,,Resiliency,2,4,2,4,2,4,3,30722
1,1.59175E+12,10/6/2020 0:47,1.59175E+12,-4,9/6/2020 20:47,14612,10,questionnaire-bwa4,,5538612,5e460227ac32e30e541f9789,1542941,,complete,,5ee02d0821c28b3869f045d8,computer,Desktop or Laptop,Chromium OS 12871.102.0,Chrome 81.0.4044.141,1536x864,1536x714,,Resiliency,2,4,3,4,2,4,2,14283
1,1.59175E+12,10/6/2020 0:47,1.59175E+12,-4,9/6/2020 20:47,14612,10,questionnaire-bwa4,,5538621,5ecb09cc5bb88d670255817a,1542936,,complete,,5ee02cfd6e98a737cd8ac89d,computer,Desktop or Laptop,Mac OS 10.15.1,Chrome 81.0.4044.138,1440x900,1440x824,,Resiliency,2,2,4,2,4,2,3,21286
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-10,9/6/2020 14:48,14612,10,questionnaire-bwa4,,5538624,5eac4e861dfe0309c93974b5,1542935,,complete,,5ee02d0a3fe541380c195da3,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x969,,Resiliency,2,3,5,2,3,3,4,24984
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-7,9/6/2020 17:48,14612,10,questionnaire-bwa4,,5538627,5c7ed3c5cc6a9c000153d29b,1542938,,complete,,5ee02d18fb2efb37e940389e,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1440x900,1440x837,,Resiliency,2,3,4,4,2,4,2,17400
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-7,9/6/2020 17:48,14612,10,questionnaire-bwa4,,5538631,5bdc76705489a000010700a7,1542946,,complete,,5ee02d3cc7fdb337eb1105d4,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x937,,Resiliency,2,2,5,2,5,3,4,13450
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-4,9/6/2020 20:48,14612,10,questionnaire-bwa4,,5538633,5e3f7b63badc6c1db1be6647,1542943,,complete,,5ee02d29ea175037bbee7b54,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1920x1080,1920x920,,Resiliency,2,4,3,4,2,4,2,17457
1,1.59175E+12,10/6/2020 0:48,1.59175E+12,-4,9/6/2020 20:48,14612,10,questionnaire-bwa4,,5538634,5e8a26247ad7526bf85abbff,1542951,,complete,,5ee02d43d53fce377ec8e653,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.97,1440x900,1440x711,,Resiliency,2,4,3,4,3,2,5,21399
